bcg_hr,rr_hr,bcg_timestamp,bcg_readable_time,rr_timestamp,rr_readable_time
56.26921348838987,85.96511627906976,1699091915.8590004,2023-11-04 11:58:35.859,1699127030.0,2023-11-04 21:43:50.000
92.4742208591259,84.8,1699091915.8790004,2023-11-04 11:58:35.879,1699127090.0,2023-11-04 21:44:50.000
77.89395194124944,86.88505747126437,1699091915.8990004,2023-11-04 11:58:35.899,1699127150.0,2023-11-04 21:45:50.000
81.88437874431735,83.32941176470588,1699091915.9190004,2023-11-04 11:58:35.919,1699127210.0,2023-11-04 21:46:50.000
90.81733314352532,81.76388888888889,1699091915.9390004,2023-11-04 11:58:35.939,1699127270.0,2023-11-04 21:47:50.000
73.35487763167824,81.2439024390244,1699091915.9590003,2023-11-04 11:58:35.959,1699127330.0,2023-11-04 21:48:50.000
70.97325554745923,81.78260869565217,1699091915.9790003,2023-11-04 11:58:35.979,1699127390.0,2023-11-04 21:49:50.000
90.75836085587363,82.01204819277109,1699091915.9990005,2023-11-04 11:58:35.999,1699127450.0,2023-11-04 21:50:50.000
89.07046752275784,80.15853658536585,1699091916.0190005,2023-11-04 11:58:36.019,1699127510.0,2023-11-04 21:51:50.000
76.50674816742344,81.47887323943662,1699091916.0390005,2023-11-04 11:58:36.039,1699127570.0,2023-11-04 21:52:50.000
75.3453434815011,84.69767441860465,1699091916.0590005,2023-11-04 11:58:36.059,1699127630.0,2023-11-04 21:53:50.000
78.38417570992412,80.5774647887324,1699091916.0790005,2023-11-04 11:58:36.079,1699127690.0,2023-11-04 21:54:50.000
75.24340672568398,81.0,1699091916.0990005,2023-11-04 11:58:36.099,1699127750.0,2023-11-04 21:55:50.000
82.98419194479726,85.80232558139535,1699091916.1190004,2023-11-04 11:58:36.119,1699127810.0,2023-11-04 21:56:50.000
86.38923020508483,84.02739726027397,1699091916.1390004,2023-11-04 11:58:36.139,1699127870.0,2023-11-04 21:57:50.000
86.54520221863342,84.46511627906976,1699091916.1590006,2023-11-04 11:58:36.159,1699127930.0,2023-11-04 21:58:50.000
82.85156222377387,85.57534246575342,1699091916.1790006,2023-11-04 11:58:36.179,1699127990.0,2023-11-04 21:59:50.000
76.83612374730231,85.52873563218391,1699091916.1990006,2023-11-04 11:58:36.199,1699128050.0,2023-11-04 22:00:50.000
85.78243250714279,87.27272727272727,1699091916.2190006,2023-11-04 11:58:36.219,1699128110.0,2023-11-04 22:01:50.000
83.73635588662566,80.65714285714286,1699091916.2390006,2023-11-04 11:58:36.239,1699128170.0,2023-11-04 22:02:50.000
84.65967517202711,82.80952380952381,1699091916.2590005,2023-11-04 11:58:36.259,1699128230.0,2023-11-04 22:03:50.000
